,title,image_url,year,genre,budget,original_language,couleur_1,hex_1,couleur_2,hex_2,couleur_3,hex_3,couleur_4,hex_4,couleur_5,hex_5
0,57 Seconds,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/0/image/image.jpg?Expires=1761154317&Signature=kVnAgX3wjbC1c7Nw-uvpRRh5IeBkY2uns6Ofn-OG8RDB-8KgDOllKRnMDaIW0fszgOYMBhfLhapiRX0su8b5P5ZXC6kkxiqFb~~ADhxMC6UnzbVDW7htM~IM2TRpbFqG-IWWpQSF-4Bqk6AodNWPAA7HnuE9Fae1hzN9E6S3MVVSD7Gxr3HSmR6W0E4w6gyM3Go3DGQI8DFXtHyCwaitdBHikCIwucj8mbJEOxcdvQTJnf9m0BDqqD-I6RUMCctNBiRXKu8lEWsma38vsASQ8hoPeJ8CYpLxRdvYio3Evw07jZUpEyuDSkVNxJKH800O3p6MlPxFVzstcoCGhtaULA__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 53, 'name': 'Thriller'}|{'id': 878, 'name': 'Science Fiction'}|{'id': 28, 'name': 'Action'}",0,en,blanc,#f1eee9,gris foncé,#23242a,bleu,#3f474f,gris,#737b7e,gris clair,#c0b6ae
1,Mission: Impossible - Dead Reckoning Part One,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/1/image/image.jpg?Expires=1761154317&Signature=yuhb7m5pcqTK4fb5vbnGyTWIk0~7HJ8COt6NXiyiyvB85FcMCiyQamzkvPVC9JJA497Xs5mP031TXsrNEpjvLrHVREqzaaFZ131l2v79qWoLX3SPfVLVgFRuBmZ3Cte4A12zV7Xyw1HfdEsUR8L3mg653TAUT5IJtoAiCgs~5aA01bWLb7LuoI5KACQpMq50iIiWpmyoYS4eePUkj-j-7pJK0nkNr9FfKSH2IC5-fahRNfJnGS0GQ7wzHWBM9BClegy1Ul-aR20FTPO793ecJ2UlpA2FbZaV6WBQtkn1T33063F3IoIDJpHX6O-m82jPCutpCIxRe6hwpJVokNkbzA__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 28, 'name': 'Action'}|{'id': 53, 'name': 'Thriller'}",291000000,en,blanc,#f8f6f0,gris foncé,#2d292d,rouge,#a35f50,gris clair,#bdb0ae,bleu,#586f8a
2,Expend4bles,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/2/image/image.jpg?Expires=1761154317&Signature=kD2stU4U9EZNwGMhE4JyqGigF6LFHPZyVKkv7DYTiAJ38grIwK7-tsMrlk0OPa3IGc~wggks6Onm70SaJXYVu357~P5kxFm3~vxheiQLJ-OxysjYDOaY7m0EX1GJ~IMo1UnQOWHg1xK5zCI7ZLF2ZKzhnPBErObLW4I0dIHgXUeeQPnEI6qcirKESfQAvFbMm2ihhk~5oC~YTLuzSjDh3mtDGHdVOV099sdUSOQvvqAsQPq5v15W9hTiKJQ3F4IDrEvx5GaH7EGtD3eQTqwgiNm-oryuX9Jhug7TC4XbmlXvTP1heHa6nO3rOHD351rJs9TrJWoz0o4CC2p7LDOhlw__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 28, 'name': 'Action'}|{'id': 12, 'name': 'Adventure'}|{'id': 53, 'name': 'Thriller'}",100000000,en,rouge foncé,#150706,rouge,#ad231c,rouge foncé,#5e1c1c,jaune clair,#d2962e,vert clair,#5fcd7f
3,Sound of Freedom,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/3/image/image.jpg?Expires=1761154317&Signature=rl8cGgP5Okkj~Hf3r8OS8zA3zeBvNxv1Enf6cF8SPnMnryQq~S9EInU4q91DegvrP9TkLDGPiP6EAeLL0KdNEYnVDcQntFggJAWvL8wbe0HE~yHeP~~Egvdd3EvD9oByKNCBSp4KkHAlDk1y9OjixiALyggsjyWeTRROE1VntZP5Sx-oremW~X4DE5x1isIwrC6jBVHQ~Y1BkoOvVkXjH5PK34xUFxtOUuZk2qnPKY~OFkLDM6414-Zdw6FP0pOsQeyAPYa2NEAQCrpZkr8KLxAsrAhvLLGc~uZXiGafnMxj7xmpeUVO~XXZ~qKSyI4G~jwncuzNLQlFsmgdMmHO1g__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 28, 'name': 'Action'}|{'id': 18, 'name': 'Drama'}",15000000,en,blanc,#fef6ee,noir,#0e0d0f,gris foncé,#3f3935,gris,#7c726a,gris clair,#bdb5ab
4,Nowhere,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/4/image/image.jpg?Expires=1761154317&Signature=TxgyUSNmNC3BcEzDbt231YcSuhA6vu4dWWd1Hq9KfYP5AN6xzu4fzaEBYUb-65tG16CJxXHaikZKlEV9bQfZfsrqX6y0boMNm3UWMvcb9F-S9meJnd2C8vlaAw11zgsHM7DUAmO96evemEcl8Qb~krTN6EEPMVt79i~nXKHTJHj3Q7h5PX1ngiz0dzIHANuTbGoOV4zh8gIOYkHSWCxdOeEWuPxCy2Z~ChqMbrNlPoihdc7H8xVK9vUbjStF2UtVRsE8FklYKgWoSL7550HNDvuOZprhU3hzdD3T7ohwYK8QyFwyj~vw9wnHvumZB2EsHc3m0PVAwk-QexFBooCRHQ__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 53, 'name': 'Thriller'}|{'id': 18, 'name': 'Drama'}",0,es,gris foncé,#293130,noir,#0e0f0f,gris foncé,#495451,gris,#808373,jaune,#bdad8e
5,The Nun II,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/5/image/image.jpg?Expires=1761154317&Signature=F6oaSqfYc2N4s0j9ExzpWaQe50S2oA8tI5aICxeDnJ4~m8~xRIQX0vdCWSj6bzSNuZDgm4CqyttcQnUr0tXbFiN9Tmsb3Xdjo5ThNpg7wbtF76nqwZXM3m0KTjkDe1Z5KE2RZ1zDZXc6KQF72qpGFi0YVhSJQvqyGm~uB31Z-e7Wf4myobjOEFAK8Fx1OxPGO2YOKguMCgM2~uvIcihDu6~db3G33mhv3FneUVOgAb8S6fA-Vn83sV0l9CRyS-Jrf1FtnMd4aYpObqLUZlHE9HqPeLoobUzKJYzfdmzl0hZ9cVRKnTX19IlLZXJC~vbeH421QeITZGikdNqrrRGWBQ__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 27, 'name': 'Horror'}|{'id': 9648, 'name': 'Mystery'}|{'id': 53, 'name': 'Thriller'}",38500000,en,noir,#010000,marron,#150e09,marron,#312417,marron,#5b4934,gris,#afa9a1
6,Talk to Me,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/6/image/image.jpg?Expires=1761154317&Signature=b8TLQjrDfp8QMPnKmOTkUssKsNoXVKLPmidey~m1zkS8-N4JWr8a6isd5AIkHW-OIfIOwMxl7aw07rtMjmf2x2aoRTQ3RPEnE3a-Q9WtP9AaYsUNCdgDuSZ30PnB9qc32qqXxoFs3yAeFUmbPURYT5-nLyEWIIUrQxxu3kGqH1j4y3SzrxJpROyFwi3-2N5zGlHlXcrv2i8iGtHv77r6LRe6r3GYGKUhgrJaGaz0-alRjnvpoRdaO8WQ5vh8dJGmq9y4o0Z7VJn59KKijQqFEAxmAbz~kcyHlMG9TQb3fc5V7aiNBSA4BQz~Z8DHHaC5M1PHzCYhJMFllF2CwE5Dcw__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 27, 'name': 'Horror'}|{'id': 53, 'name': 'Thriller'}",0,en,noir,#070c0f,turquoise foncé,#1a2527,gris foncé,#404a49,gris,#686f6c,gris,#9ea3a3
7,Gran Turismo,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/7/image/image.jpg?Expires=1761154317&Signature=zzvEe7~RIxqrKtPWGVpDHtB8j3DKlQjUi9gPUllipDVzoYSxvFUl-lQb3JGp6zHV~X9KT2Gpve6MmJx3wCT6-jLhATGcnXxwNb9GCXXxLKuZtfdjlA2Yl6MLM6Kl6jFqdR310PUPwbiFQSbmwM9uEF7bDCJEYFruBl45HVyuXi0JqiB~HepQ4OCOOkx5rXLZ~wKXJeT~kvPqZKd11O9oHSspbVwDsRL32MA7pIUNoFfEs24x4MG0VmtLbbj--Z4HU2MDVrxfaPX7zH-gpXqfpA1NL0fjpKeXkKpLNkGfMFrzsuhLEbyEqTZykdTFqHlpNoaLbz9WfRAGQMNjMlmmnQ__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 12, 'name': 'Adventure'}|{'id': 28, 'name': 'Action'}|{'id': 18, 'name': 'Drama'}",60000000,en,noir,#131314,rouge foncé,#56433e,orange,#bf8454,bleu,#5e7389,gris clair,#d7d6cd
8,Ballerina,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/8/image/image.jpg?Expires=1761154317&Signature=ZsWX8iAxc85bSxUod4OMkwW6miF981RIoFbWsNtjoSB2xAqhBPyhAehYxh0r29uNn6wsjSpQvHvsEaUq-1cb8i0yuGwd-702G9GwiB7LKtTmHkQhv9P801kvvrE2MfR8q9h4SMKWpAnAYjddJNr5LXjaEOKsKW5B6pMAotjH8nQpsm3OSbXnBz8WDBgTytsQv4UAPLz3SNfFCxXgWY-7LNwtDhRPyvuqXhIq706Wq6EzJDzg-nWNPav-teN4e5Nx0QfqkWRwohSZnslbBz0NhkIGcfVFzCzqexqb5z9ksz4gGwpKL00Ol4TheADZi0gApjgyqo3A1EhgLxzehbIdJw__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 28, 'name': 'Action'}|{'id': 80, 'name': 'Crime'}|{'id': 53, 'name': 'Thriller'}",0,ko,rose foncé,#230817,rouge,#63222a,rouge,#a0434a,rose clair,#d6676c,rose clair,#f3b8c5
9,Retribution,https://datasets-server.huggingface.co/cached-assets/stzhao/movie_posters_100k_controlnet/--/d800ed3a0343a64f1fdb6e492e544f6b0f9a61a8/--/default/train/9/image/image.jpg?Expires=1761154317&Signature=xIq9-cnvJWxvpP8YwAl7Rfe0RpmmHOtYGAHYUddMfZpOA1S1YkrnpMwzZvU1pX9na5AhnthWzpBeVfNGYgkYfptqf9Kp6ecJIVJRPC2~BEkw9oIdEtgWGzbwnqdXdXWBA-XbdNW-RfvTJkXhQcTEQV~ZBoHemO9oiomrhMkkXDD6kMZ7pdkc5b0huhLr5G0aI~bb4FSGX6ml6~RUeu3H1TVcBmgdTbS51cmRaXdBbdri5Pcz3tKKavaLrcChChvGbr4zB4EL3yCrDKMcAhMDJswC-uLSQCdFhWCV58rQ2XrYuNeR0BK2DfUrolaNeJskPL3rPyf9-uhiExgCZuCJiw__&Key-Pair-Id=K3EI6M078Z3AC3,2023,"{'id': 28, 'name': 'Action'}|{'id': 53, 'name': 'Thriller'}|{'id': 80, 'name': 'Crime'}",20000000,en,bleu foncé,#13151f,rouge foncé,#463537,orange,#817061,jaune,#bcad8d,blanc,#f1f2f0
